pm25,datetime
17.4,2023-09-08 00:00:00+00:00
22.6,2023-09-08 01:00:00+00:00
20.5,2023-09-08 02:00:00+00:00
20.9,2023-09-08 03:00:00+00:00
17.6,2023-09-08 04:00:00+00:00
16.4,2023-09-08 05:00:00+00:00
18.9,2023-09-08 06:00:00+00:00
20.2,2023-09-08 07:00:00+00:00
22.3,2023-09-08 08:00:00+00:00
26.0,2023-09-08 09:00:00+00:00
24.6,2023-09-08 10:00:00+00:00
21.6,2023-09-08 11:00:00+00:00
20.6,2023-09-08 12:00:00+00:00
11.3,2023-09-08 13:00:00+00:00
15.5,2023-09-08 14:00:00+00:00
29.7,2023-09-08 15:00:00+00:00
26.5,2023-09-08 16:00:00+00:00
22.3,2023-09-08 17:00:00+00:00
24.3,2023-09-08 18:00:00+00:00
31.3,2023-09-08 19:00:00+00:00
44.1,2023-09-08 20:00:00+00:00
55.8,2023-09-08 21:00:00+00:00
61.3,2023-09-08 22:00:00+00:00
70.6,2023-09-08 23:00:00+00:00
74.1,2023-09-09 00:00:00+00:00
64.5,2023-09-09 01:00:00+00:00
55.4,2023-09-09 02:00:00+00:00
51.9,2023-09-09 03:00:00+00:00
47.8,2023-09-09 04:00:00+00:00
47.2,2023-09-09 05:00:00+00:00
40.4,2023-09-09 06:00:00+00:00
59.6,2023-09-09 07:00:00+00:00
79.9,2023-09-09 08:00:00+00:00
30.8,2023-09-09 09:00:00+00:00
20.0,2023-09-09 10:00:00+00:00
27.4,2023-09-09 11:00:00+00:00
28.8,2023-09-09 12:00:00+00:00
20.6,2023-09-09 13:00:00+00:00
16.8,2023-09-09 14:00:00+00:00
17.1,2023-09-09 15:00:00+00:00
16.6,2023-09-09 16:00:00+00:00
16.3,2023-09-09 17:00:00+00:00
17.0,2023-09-09 18:00:00+00:00
16.9,2023-09-09 19:00:00+00:00
17.5,2023-09-09 20:00:00+00:00
19.0,2023-09-09 21:00:00+00:00
19.2,2023-09-09 22:00:00+00:00
19.3,2023-09-09 23:00:00+00:00
